_key,killedUsingWeapon,hasIBCCode
9905,RPGs,k6272-bu822
9906, mortars,k6272-bu822
9907, machine guns,k6272-bu822
9908,-,k6277b-sb1518
9909,murdered,d6461-dm1951
9910,drive-by shooting,d9332-ck2624
9911,gunfire,d9333-fv2613
9912,9mm gunfire,d9932-xv2642
9913,9mm pistol,d9933-kv2457
9914,gunfire,d9934-xz2472
9915,9mm pistol,d9935-kz2515
9916,murdered,d9931-kr2511
9917,gunfire,k6260-uc676
9918,gunfire,k6264-dz657
9919,gunfire,d2954-bx937
9920,murdered,d9326-bx2609
9921,gunfire,d9327-xk2426
9922,gunfire,d9328-bw2555
9923,9mm gunfire,d9928-nb2646
9924, executed,d9928-nb2646
9925,gunfire,d9929-kn2461
9926, tortured,d9929-kn2461
9927, executed,d9929-kn2461
9928,gunfire,d9930-nd2476
9929,gunfire,d2964-uz1109
9930,burnt to death in car,k6251-hu741
9931,decapitated,k6254-fd724
9932,gunfire,d9321-bz2547
9933,gunfire,d9322-hd2632
9934,car bomb,k6229-nb870
9935,car bomb,k6229-kn685
9936,gunfire,k6243-dc717
9937,gunfire,k6243-es926
9938,gunfire,k6239m-bx1617
9939, executed,k6239m-bx1617
9940, tortured,k6239m-bx1617
9941,9mm gunfire,d9924-xf2638
9942,9mm gunfire,d9924-ef2507
9943,9mm gunfire,d9925-df2416
9944,gunfire,d9926-eh2433
9945,gunfire,k15858-fe1683
9946,gunfire,d9319-hc2567
9947,AK-47 Kalashnikov rifle,d9921-xw2420
9948,AK-47 Kalashnikov rifle,d9918-ds2424
9949,gunfire,k6207-eu701
9950,gunfire,k6213-xd814
9951,roadside bomb,d2912-vu1120
9952,9mm pistol,d9919-eb2441
9953,9mm pistol,d9919-db2626
9954,gunfire,d9920-vn2503
9955,burned,d9320-bv2617
9956, murdered,d9320-bv2617
9957,drive-by shooting,d9917-sb2630
9958,drive-by shooting,d9917-ua2499
9959,gunfire,k6190-nb878
9960,gunfire,k6190-kn677
9961,gunfire,d2901-zu914
9962,US gunfire,d5132-fd2068
9963,gunfire,d9913-ec2618
9964,gunfire,d9914-zx2495
9965, executed,d9914-zx2495
9966,murdered,d9915-sf2428
9967,kidnapped,d9916-zw2445
9968, executed,d9916-zw2445
9969,stabbed,d4687-dc1733
9970, beaten,d4687-dc1733
9971,gunfire,k6177-fv741
9972,drive-by shooting,d9831-kv2505
9973,gunfire,d9912-dx2491
9974,drive-by shooting,d13199-bd3469
9975,found beheaded,d2894-nz974
9976,gunfire,k6168-eu709
9977,gunfire,k6170-ns744
9978,gunfire,k6170-hv659
9979,gunfire,k6170-xd790
9980,gunfire,d9911-ea2432
9981,suicide car bomb,k6156-dm623
9982,suicide car bomb,k6156-ur758
9983,gunfire,k6160-vc762
9984,gunfire,d9909-za2622
9985,gunfire,d9910-xa2421
9986, tortured,d9910-xa2421
9987, executed,d9910-xa2421
9988,drive-by shooting,d2882-hw1083
9989,gunfire,k6143-bd677
9990,-,k6148-bk743
9991,gunfire,d9318-fd2612
9992,9mm gunfire,d9727-xe2463
9993,gunfire,d2883-zs2436
9994,9mm gunfire,d9908-dz2425
9995,roadside bomb and gunfire,k6136-hw731
9996,grenade,k6139-nf735
9997,gunfire,k6141-ka668
9998, younger daughter beheaded,k6141-ka668
9999,gunfire,k6141-xm681
10000, younger daughter beheaded,k6141-xm681
10001,gunfire,k6141-kb866
10002, younger daughter beheaded,k6141-kb866
10003,gunfire,k6141-xb739
10004, younger daughter beheaded,k6141-xb739
10005,drive-by shooting,k6142-kd664
10006,drive-by shooting,d2792-bc1036
10007,murdered,d6459-sx2025
10008,automatic weapons,d9907-ev2440
10009, rocket-propelled grenades,d9907-ev2440
10010,automatic weapons,d9907-dv2483
10011, rocket-propelled grenades,d9907-dv2483
10012,gunfire,d2868-ea1056
10013,gunfire,d2869-ec986
10014,gunfire,d9905-ck2520
10015,assassinated,d10407-ec2722
10016,murdered,d9824-ve2517
10017,gunfire,d9904-bw2467
10018,car bomb,k6112-dx699
10019, sniper,k6112-dx699
10020, gunfire from US soldiers,k6112-dx699
10021,car bomb,k6112-ua707
10022, sniper,k6112-ua707
10023, gunfire from US soldiers,k6112-ua707
10024,car bomb,k6112-eb649
10025, sniper,k6112-eb649
10026, gunfire from US soldiers,k6112-eb649
10027,suicide car bomb,k6113-xw628
10028,suicide car bomb,k6113-ve645
10029,gunfire,k6116-ef715
10030,gunfire,k6118-eh641
10031,executed,k6117-dv1107
10032,executed,k6117-ue978
10033,crossfire,d2863-zs1060
10034,drive-by shooting,d9903-xk2594
10035,gunfire,d9927-dh2634
10036,found beheaded,d2861-fb3574
10037,gunfire,k6097-ns736
10038,drive-by shooting,k6099-hv667
10039,drive-by shooting,k6107-bx745
10040,gunfire,d2730-sk1031
10041,gunfire,d2857-hz906
10042,mortar fire,k15807-hm1894
10043,murdered,d10365-zc2915
10044,sniper fire,k6085-xr778
10045,drive-by shooting,k6086-uw647
10046,drive-by shooting,k6087-dn692
10047,gunfire,k6091-ek639
10048,gunfire,d2729-xn1089
10049,gunfire,d2846-nk1011
10050,gunfire,k8768-vc1202
10051,gunfire,d10363-sk2903
10052, executed,d10363-sk2903
10053,drive-by shooting,d9726-zs2524
10054,explosive device,d2833-sc934
10055,US gunfire,d2837-ns1088
10056,executed,d2838-hv1019
10057,drive-by shooting,d2843-bn882
10058,gunfire,d9724-ue2602
10059,,d9725-dz2529
10060,gunfire,d9839-ke2550
10061,gunfire,d9902-fw2533
10062,gunfire,d9902-kf2606
10063,gunfire,d10354-ur2774
10064,murdered,k6076i-dc2845
10065,gunfire,k6076j-vu2848
10066, executed,k6076j-vu2848
10067,kidnapped,d10352-dm2895
10068, executed,d10352-dm2895
10069,drive-by shooting,k6069-xa637
10070,suicide car bomb,k6072-bw899
10071, police gunfire,k6072-bw899
10072,US sniper fire,k9172b-ka1652
10073,gunfire,d9900-bz2475
10074,gunfire,d3058-fb1110
10075,roadside bomb,k6057-fh687
10076,gunfire,k6059-bx625
10077,US gunfire,d4482-ns1776
